window,seq_auc,relaxed_auc,diff
328,0.8724,0.8914,0.0190
329,0.8852,0.8926,0.0074
330,0.8418,0.8708,0.0290
331,0.8238,0.8358,0.0120
332,0.8452,0.8690,0.0238
333,0.8626,0.8890,0.0264
334,0.8696,0.8890,0.0194
335,0.9016,0.9182,0.0166
336,0.9680,0.9558,-0.0122
337,0.8958,0.9284,0.0326
338,0.8580,0.8760,0.0180
339,0.8398,0.8604,0.0206
340,0.8902,0.9124,0.0222
341,0.9008,0.8938,-0.0070
342,0.8148,0.8482,0.0334
343,0.8956,0.9474,0.0518
344,0.8572,0.8634,0.0062
345,0.8400,0.8290,-0.0110
346,0.8880,0.8908,0.0028
347,0.9298,0.9020,-0.0278
348,0.8256,0.8604,0.0348
349,0.8276,0.8522,0.0246
350,0.8860,0.8904,0.0044
351,0.8420,0.8180,-0.0240
352,0.7926,0.8100,0.0174
353,0.8944,0.8944,-0.0000
354,0.8802,0.8884,0.0082
355,0.8614,0.8598,-0.0016
356,0.8458,0.8694,0.0236
357,0.7968,0.8886,0.0918
358,0.8662,0.8910,0.0248
359,0.8480,0.8408,-0.0072
360,0.8910,0.8830,-0.0080
361,0.8580,0.8898,0.0318
362,0.8808,0.9162,0.0354
363,0.8436,0.8298,-0.0138
364,0.8568,0.8698,0.0130
365,0.8230,0.8590,0.0360
366,0.8452,0.8666,0.0214
367,0.8150,0.8384,0.0234
368,0.9050,0.9098,0.0048
369,0.8796,0.8928,0.0132
370,0.8222,0.8406,0.0184
371,0.8604,0.8532,-0.0072
372,0.9416,0.9402,-0.0014
373,0.9006,0.9152,0.0146
374,0.8846,0.8748,-0.0098
375,0.8542,0.8702,0.0160
376,0.8468,0.8774,0.0306
377,0.9050,0.9024,-0.0026
378,0.8770,0.8680,-0.0090
379,0.8874,0.8774,-0.0100
380,0.8230,0.8616,0.0386
381,0.8912,0.8906,-0.0006
382,0.8042,0.7912,-0.0130
383,0.8556,0.8938,0.0382
384,0.7292,0.7496,0.0204
385,0.8410,0.8720,0.0310
386,0.8430,0.8396,-0.0034
387,0.8560,0.8474,-0.0086
388,0.8528,0.8418,-0.0110
389,0.8764,0.8592,-0.0172
390,0.8978,0.9032,0.0054
391,0.8748,0.8994,0.0246
392,0.8398,0.8370,-0.0028
393,0.8494,0.8384,-0.0110
394,0.8784,0.8592,-0.0192
395,0.7682,0.7610,-0.0072
396,0.8612,0.8338,-0.0274
397,0.8822,0.8914,0.0092
398,0.8598,0.8592,-0.0006
399,0.8784,0.8652,-0.0132
400,0.8430,0.8466,0.0036
401,0.8494,0.8458,-0.0036
402,0.8490,0.8570,0.0080
403,0.8604,0.8588,-0.0016
404,0.8986,0.9040,0.0054
405,0.8866,0.9176,0.0310
406,0.8600,0.8340,-0.0260
407,0.8094,0.8208,0.0114
408,0.9554,0.9588,0.0034
409,0.8186,0.8312,0.0126
410,0.9120,0.9542,0.0422
411,0.8010,0.8138,0.0128
412,0.8852,0.8942,0.0090
413,0.8694,0.8876,0.0182
414,0.8568,0.8722,0.0154
415,0.9174,0.9092,-0.0082
416,0.8044,0.8238,0.0194
417,0.8794,0.9088,0.0294
418,0.8906,0.9000,0.0094
419,0.8696,0.8854,0.0158
420,0.8188,0.8278,0.0090
421,0.8768,0.8800,0.0032
422,0.9226,0.9226,-0.0000
423,0.8104,0.8232,0.0128
424,0.8244,0.8552,0.0308
425,0.8626,0.8776,0.0150
426,0.9198,0.8976,-0.0222
427,0.8584,0.8464,-0.0120
428,0.8352,0.8716,0.0364
429,0.7722,0.7960,0.0238
430,0.8746,0.8696,-0.0050
431,0.8714,0.8866,0.0152
432,0.8408,0.8890,0.0482
433,0.8536,0.8490,-0.0046
434,0.8936,0.9006,0.0070
435,0.8670,0.8884,0.0214
436,0.8658,0.8876,0.0218
437,0.8596,0.9008,0.0412
438,0.8364,0.8660,0.0296
439,0.8498,0.8590,0.0092
440,0.8558,0.8418,-0.0140
441,0.8048,0.8230,0.0182
442,0.8292,0.8372,0.0080
443,0.8806,0.9242,0.0436
444,0.8390,0.8466,0.0076
445,0.8920,0.9144,0.0224
446,0.8666,0.8830,0.0164
447,0.8224,0.8128,-0.0096
448,0.8642,0.8994,0.0352
449,0.8300,0.8484,0.0184
450,0.8572,0.8648,0.0076
451,0.8748,0.8666,-0.0082
452,0.8344,0.8256,-0.0088
453,0.8564,0.9066,0.0502
454,0.8336,0.8574,0.0238
455,0.8492,0.8714,0.0222
456,0.8676,0.8670,-0.0006
457,0.8610,0.8634,0.0024
458,0.8038,0.8228,0.0190
459,0.8294,0.8516,0.0222
460,0.8652,0.8684,0.0032
461,0.8602,0.8474,-0.0128
462,0.7930,0.8102,0.0172
463,0.8394,0.8592,0.0198
464,0.8326,0.8450,0.0124
465,0.9000,0.9028,0.0028
466,0.9004,0.9168,0.0164
467,0.8190,0.8356,0.0166
468,0.8306,0.8040,-0.0266
469,0.8188,0.8472,0.0284
470,0.8592,0.8638,0.0046
471,0.8442,0.8486,0.0044
472,0.7898,0.8154,0.0256
473,0.8356,0.8262,-0.0094
474,0.8046,0.8108,0.0062
475,0.7898,0.8078,0.0180
476,0.8168,0.8534,0.0366
477,0.7956,0.8068,0.0112
478,0.9202,0.8768,-0.0434
479,0.8992,0.8968,-0.0024
480,0.8782,0.8812,0.0030
481,0.8508,0.8158,-0.0350
482,0.8388,0.8986,0.0598
483,0.8122,0.8544,0.0422
484,0.8344,0.8278,-0.0066
485,0.8776,0.8870,0.0094
486,0.9280,0.9280,0.0000
487,0.8676,0.8554,-0.0122
488,0.8980,0.8886,-0.0094
489,0.8522,0.8712,0.0190
