window,seq_auc,relaxed_auc,diff
353,0.9358,0.9485,0.0127
354,0.9568,0.9609,0.0041
355,0.8999,0.9298,0.0299
356,0.9312,0.9339,0.0027
357,0.9108,0.9175,0.0067
358,0.9039,0.9305,0.0266
359,0.9156,0.9149,-0.0007
360,0.9356,0.9287,-0.0069
361,0.9761,0.9723,-0.0038
362,0.9653,0.9549,-0.0104
363,0.9464,0.9268,-0.0196
364,0.9354,0.9561,0.0207
365,0.9760,0.9758,-0.0002
366,0.9235,0.9505,0.0270
367,0.9591,0.9615,0.0024
368,0.9353,0.9221,-0.0132
369,0.9611,0.9570,-0.0041
370,0.9364,0.9062,-0.0302
371,0.9547,0.9735,0.0188
372,0.9432,0.9218,-0.0214
373,0.9268,0.9349,0.0081
374,0.9496,0.9429,-0.0067
375,0.9606,0.9617,0.0011
376,0.9655,0.9663,0.0008
377,0.9475,0.9420,-0.0055
378,0.9389,0.9200,-0.0189
379,0.9591,0.9592,0.0001
380,0.9352,0.9411,0.0059
381,0.9350,0.9312,-0.0038
382,0.9620,0.9479,-0.0141
383,0.9408,0.9099,-0.0309
384,0.9437,0.9465,0.0028
385,0.9450,0.9713,0.0263
386,0.9203,0.9144,-0.0059
387,0.9356,0.9589,0.0233
388,0.9488,0.9317,-0.0171
389,0.9500,0.9542,0.0042
390,0.9287,0.9654,0.0367
391,0.9411,0.9137,-0.0274
392,0.8848,0.9011,0.0163
393,0.9330,0.9336,0.0006
394,0.9379,0.9386,0.0007
395,0.9565,0.9547,-0.0018
396,0.9154,0.9224,0.0070
397,0.9332,0.9125,-0.0207
398,0.9419,0.9270,-0.0149
399,0.9053,0.9176,0.0123
400,0.9213,0.9292,0.0079
401,0.9234,0.9443,0.0209
402,0.9104,0.9299,0.0195
403,0.9268,0.9224,-0.0044
404,0.9543,0.9450,-0.0093
405,0.9331,0.9047,-0.0284
406,0.9529,0.9402,-0.0127
407,0.9649,0.9565,-0.0084
408,0.9277,0.9393,0.0116
409,0.9392,0.9265,-0.0127
410,0.9434,0.9423,-0.0011
411,0.9375,0.9439,0.0064
412,0.9269,0.9279,0.0010
413,0.9540,0.9361,-0.0179
414,0.9610,0.9526,-0.0084
415,0.9433,0.9614,0.0181
416,0.9506,0.9497,-0.0009
417,0.9331,0.9380,0.0049
418,0.9432,0.9343,-0.0089
419,0.9478,0.9427,-0.0051
420,0.9715,0.9624,-0.0091
421,0.9559,0.9754,0.0195
422,0.9276,0.9359,0.0083
423,0.9621,0.9689,0.0068
424,0.9591,0.9503,-0.0088
425,0.9076,0.9185,0.0109
426,0.9663,0.9805,0.0142
427,0.9553,0.9537,-0.0016
428,0.9544,0.9455,-0.0089
429,0.9732,0.9599,-0.0133
430,0.9479,0.9203,-0.0276
431,0.9413,0.9510,0.0097
432,0.9442,0.9480,0.0038
433,0.9127,0.9214,0.0087
434,0.9453,0.9692,0.0239
435,0.9093,0.9169,0.0076
436,0.9481,0.9421,-0.0060
437,0.8994,0.8949,-0.0045
438,0.9396,0.9484,0.0088
439,0.9379,0.9549,0.0170
440,0.9665,0.9619,-0.0046
441,0.9694,0.9598,-0.0096
442,0.9629,0.9569,-0.0060
443,0.9496,0.9427,-0.0069
444,0.9469,0.9403,-0.0066
445,0.9505,0.9630,0.0125
446,0.9505,0.9415,-0.0090
447,0.9595,0.9545,-0.0050
448,0.9650,0.9528,-0.0122
449,0.9414,0.9506,0.0092
450,0.9027,0.9269,0.0242
451,0.8994,0.9415,0.0421
452,0.9424,0.9612,0.0188
453,0.9542,0.9615,0.0073
454,0.9469,0.9487,0.0018
455,0.9564,0.9651,0.0087
456,0.9533,0.9508,-0.0025
457,0.9428,0.9519,0.0091
458,0.9471,0.9537,0.0066
459,0.9247,0.9522,0.0275
460,0.9534,0.9351,-0.0183
461,0.9233,0.9392,0.0159
462,0.9419,0.9347,-0.0072
463,0.9451,0.9374,-0.0077
464,0.9697,0.9639,-0.0058
465,0.9320,0.9420,0.0100
466,0.9445,0.9311,-0.0134
467,0.9777,0.9782,0.0005
468,0.9726,0.9565,-0.0161
469,0.8871,0.9045,0.0174
470,0.9359,0.9452,0.0093
471,0.9389,0.9424,0.0035
472,0.8852,0.9056,0.0204
473,0.9506,0.9436,-0.0070
474,0.9478,0.9417,-0.0061
475,0.9304,0.9357,0.0053
476,0.9385,0.9425,0.0040
477,0.9357,0.9273,-0.0085
478,0.9451,0.9436,-0.0015
479,0.9695,0.9485,-0.0210
480,0.9554,0.9607,0.0053
481,0.9394,0.9364,-0.0030
482,0.9287,0.9349,0.0062
483,0.9709,0.9631,-0.0078
484,0.9314,0.9168,-0.0146
485,0.9150,0.8878,-0.0272
486,0.9395,0.9536,0.0141
487,0.9294,0.9479,0.0185
488,0.9646,0.9400,-0.0246
489,0.9449,0.9444,-0.0005
490,0.9454,0.9223,-0.0231
491,0.9362,0.9383,0.0021
492,0.9082,0.8839,-0.0243
493,0.9438,0.9526,0.0088
494,0.9366,0.9390,0.0024
495,0.9137,0.9217,0.0080
496,0.9116,0.9184,0.0068
497,0.9583,0.9700,0.0117
498,0.8990,0.9183,0.0193
